             load,                volu,                u_pl,                h,                   b       
        0.0500000000,        0.0000000000,        0.0000000000,        0.0500000000,        0.1000000000
        0.1000000000,        0.0000000000,        0.0000000000,        0.0500000000,        0.1000000000
        0.1500000000,        0.0000000000,        0.0000000000,        0.0500000000,        0.1000000000
        0.2000000000,        0.0000000000,        0.0000000000,        0.0500000000,        0.1000000000
        0.2500000000,        0.0000000000,        0.0000000000,        0.0500000000,        0.1000000000
        0.3000000000,        0.0000000000,        0.0000000000,        0.0500000000,        0.1000000000
        0.3500000000,        0.0000000000,        0.0000000000,        0.0500000000,        0.1000000000
        0.4000000000,        0.0000000000,        0.0000000000,        0.0500000000,        0.1000000000
        0.4500000000,        0.0000000000,        0.0000000000,        0.0500000000,        0.1000000000
        0.5000000000,        0.0000000000,        0.0000000000,        0.0500000000,        0.1000000000
        0.5500000000,        0.0104829777,       34.4631888419,        0.0975000000,        0.1000000000
        0.6000000000,        0.0219413938,       54.9325673543,        0.0975000000,        0.2000000000
        0.6500000000,        0.0305444494,       77.4790098481,        0.0975000000,        0.2000000000
        0.7000000000,        0.0420133542,      105.4137771726,        0.1925000000,        0.2000000000
        0.7500000000,        0.0630293172,      143.9531312436,        0.1925000000,        0.3000000000
        0.8000000000,        0.0955043837,      220.5947305481,        0.1925000000,        0.3000000000
        0.8500000000,        0.1919112182,      342.2588375881,        0.2875000000,        0.5000000000
        0.9000000000,        0.6466281560,      618.5144539906,        0.6675000000,        0.9000000000
        0.9500000000,        0.9581343626,      806.2707271217,        0.9525000000,        0.9000000000
        1.0000000000,        1.2723640527,     1023.3340005674,        1.0500000000,        1.0000000000
        1.0500000000,        1.2721683857,     1023.3340005674,        1.0500000000,        1.0000000000
        1.1000000000,        1.2719710889,     1023.3340005674,        1.0500000000,        1.0000000000
        1.1500000000,        1.2717615405,     1023.3340005674,        1.0500000000,        1.0000000000
        1.2000000000,        1.2715509433,     1023.3340005674,        1.0500000000,        1.0000000000
        1.2500000000,        1.2713402229,     1023.3340005674,        1.0500000000,        1.0000000000
        1.3000000000,        1.2711300279,     1023.3340005674,        1.0500000000,        1.0000000000
        1.3500000000,        1.2709206117,     1023.3340005674,        1.0500000000,        1.0000000000
        1.4000000000,        1.2707118818,     1023.3340005674,        1.0500000000,        1.0000000000
        1.4500000000,        1.2705035529,     1023.3340005674,        1.0500000000,        1.0000000000
        1.5000000000,        1.2702953086,     1023.3340005674,        1.0500000000,        1.0000000000
        1.5500000000,        1.2700869119,     1023.3340005674,        1.0500000000,        1.0000000000
        1.6000000000,        1.2698781864,     1024.0482737818,        1.0500000000,        1.0000000000
        1.6500000000,        1.2696691905,     1026.0850419798,        1.0500000000,        1.0000000000
        1.7000000000,        1.2694629803,     1031.0165067711,        1.0500000000,        1.0000000000
        1.7500000000,        1.2692661837,     1036.6299280920,        1.0500000000,        1.0000000000
        1.8000000000,        1.2690877715,     1042.8996893861,        1.0500000000,        1.0000000000
        1.8500000000,        1.2689334960,     1049.2276633479,        1.0500000000,        1.0000000000
        1.9000000000,        1.2688025796,     1055.1072919764,        1.0500000000,        1.0000000000
        1.9500000000,        1.2687385496,     1058.1006519296,        1.0500000000,        1.0000000000
        2.0000000000,        1.2686795953,     1061.0551113882,        1.0500000000,        1.0000000000